id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
3838,turkey,burgers,grated cheese,pepper,tomato sauce,mineral water,almonds,chutney,pancakes,eggs,escalope,light mayo,,,,,,,,
3839,cookies,,,,,,,,,,,,,,,,,,,
3840,ground beef,french fries,pasta,,,,,,,,,,,,,,,,,
3841,french fries,,,,,,,,,,,,,,,,,,,
3842,cookies,,,,,,,,,,,,,,,,,,,
3843,escalope,,,,,,,,,,,,,,,,,,,
3844,grated cheese,ground beef,spaghetti,mineral water,pancakes,cake,,,,,,,,,,,,,,
3845,tomatoes,ground beef,spaghetti,mineral water,eggs,whole wheat rice,cookies,low fat yogurt,mint,,,,,,,,,,,
3846,whole wheat rice,,,,,,,,,,,,,,,,,,,
3847,spaghetti,soup,,,,,,,,,,,,,,,,,,
3848,herb & pepper,spaghetti,black tea,cake,cottage cheese,yogurt cake,,,,,,,,,,,,,,
3849,cottage cheese,,,,,,,,,,,,,,,,,,,
3850,pepper,mineral water,pancakes,eggs,cooking oil,chocolate,low fat yogurt,,,,,,,,,,,,,
3851,grated cheese,pancakes,blueberries,champagne,,,,,,,,,,,,,,,,
3852,turkey,herb & pepper,parmesan cheese,spaghetti,escalope,mushroom cream sauce,fresh bread,low fat yogurt,,,,,,,,,,,,
3853,fresh tuna,butter,chicken,green tea,chocolate,fresh bread,,,,,,,,,,,,,,
3854,frozen vegetables,parmesan cheese,,,,,,,,,,,,,,,,,,
3855,eggs,honey,green tea,,,,,,,,,,,,,,,,,
3856,turkey,red wine,whole wheat pasta,pepper,spaghetti,mineral water,soup,avocado,eggs,body spray,low fat yogurt,,,,,,,,,
3857,mineral water,chocolate,black tea,,,,,,,,,,,,,,,,,
3858,ground beef,pepper,spaghetti,,,,,,,,,,,,,,,,,
3859,eggs,whole wheat rice,french fries,,,,,,,,,,,,,,,,,
3860,tomatoes,ground beef,pepper,spaghetti,salmon,cake,,,,,,,,,,,,,,
3861,eggs,,,,,,,,,,,,,,,,,,,
3862,turkey,chocolate,ground beef,mineral water,pancakes,zucchini,,,,,,,,,,,,,,
3863,turkey,burgers,herb & pepper,frozen vegetables,whole wheat pasta,ground beef,spaghetti,mineral water,milk,energy bar,black tea,strong cheese,nonfat milk,eggs,,,,,,
3864,shrimp,frozen vegetables,tomatoes,ground beef,spaghetti,,,,,,,,,,,,,,,
3865,cake,,,,,,,,,,,,,,,,,,,
3866,spaghetti,mineral water,salmon,gums,burger sauce,clothes accessories,hot dogs,cottage cheese,mint,,,,,,,,,,,
3867,fresh tuna,mineral water,honey,low fat yogurt,,,,,,,,,,,,,,,,
3868,cereals,low fat yogurt,green tea,,,,,,,,,,,,,,,,,
3869,shrimp,mineral water,milk,olive oil,eggs,,,,,,,,,,,,,,,
3870,burgers,mineral water,almonds,eggs,whole wheat rice,escalope,,,,,,,,,,,,,,
3871,french fries,magazines,mayonnaise,,,,,,,,,,,,,,,,,
3872,shrimp,chocolate,flax seed,vegetables mix,cooking oil,babies food,low fat yogurt,,,,,,,,,,,,,
3873,spaghetti,bug spray,whole weat flour,,,,,,,,,,,,,,,,,
3874,fresh tuna,frozen vegetables,honey,cake,brownies,energy drink,,,,,,,,,,,,,,
3875,burgers,eggs,green tea,,,,,,,,,,,,,,,,,
3876,burgers,chocolate,ground beef,spaghetti,milk,olive oil,eggs,cake,,,,,,,,,,,,
3877,burgers,shrimp,milk,pancakes,eggs,ham,french fries,,,,,,,,,,,,,
3878,burgers,fresh tuna,frozen vegetables,mineral water,milk,cider,eggs,soda,cottage cheese,fresh bread,low fat yogurt,,,,,,,,,
3879,tomato juice,mayonnaise,,,,,,,,,,,,,,,,,,
3880,herb & pepper,shrimp,frozen vegetables,mineral water,meatballs,salmon,eggs,whole wheat rice,carrots,,,,,,,,,,,
3881,cookies,,,,,,,,,,,,,,,,,,,
3882,butter,eggs,,,,,,,,,,,,,,,,,,
3883,grated cheese,cooking oil,white wine,,,,,,,,,,,,,,,,,
3884,frozen vegetables,whole wheat pasta,tomato sauce,rice,green tea,,,,,,,,,,,,,,,
3885,green beans,champagne,low fat yogurt,,,,,,,,,,,,,,,,,
3886,frozen vegetables,ground beef,spaghetti,milk,olive oil,eggs,cooking oil,mint green tea,french fries,low fat yogurt,,,,,,,,,,
3887,burgers,chocolate,mineral water,fromage blanc,salmon,eggs,rice,cooking oil,chicken,carrots,tomato juice,,,,,,,,,
3888,turkey,eggs,white wine,green tea,,,,,,,,,,,,,,,,
3889,eggs,,,,,,,,,,,,,,,,,,,
3890,burgers,butter,cake,cooking oil,eggplant,cereals,brownies,,,,,,,,,,,,,
3891,champagne,mushroom cream sauce,,,,,,,,,,,,,,,,,,
3892,grated cheese,herb & pepper,ground beef,spaghetti,salmon,cooking oil,champagne,,,,,,,,,,,,,
3893,honey,,,,,,,,,,,,,,,,,,,
3894,ground beef,mineral water,honey,low fat yogurt,,,,,,,,,,,,,,,,
3895,turkey,escalope,,,,,,,,,,,,,,,,,,
3896,shrimp,extra dark chocolate,whole weat flour,,,,,,,,,,,,,,,,,
3897,eggs,cake,,,,,,,,,,,,,,,,,,
3898,frozen vegetables,mineral water,soup,milk,eggs,energy drink,,,,,,,,,,,,,,
3899,chicken,frozen smoothie,,,,,,,,,,,,,,,,,,
3900,burgers,fresh tuna,grated cheese,spaghetti,mineral water,avocado,olive oil,gums,frozen smoothie,hot dogs,cottage cheese,,,,,,,,,
3901,turkey,grated cheese,shrimp,tomatoes,vegetables mix,brownies,pancakes,tomato juice,green tea,,,,,,,,,,,
3902,escalope,green tea,,,,,,,,,,,,,,,,,,
3903,ketchup,,,,,,,,,,,,,,,,,,,
3904,cookies,,,,,,,,,,,,,,,,,,,
3905,frozen vegetables,mineral water,pancakes,cake,cooking oil,green tea,shampoo,tomato juice,magazines,,,,,,,,,,,
3906,herb & pepper,shrimp,ground beef,yogurt cake,,,,,,,,,,,,,,,,
3907,mineral water,eggs,,,,,,,,,,,,,,,,,,
3908,chocolate,french fries,,,,,,,,,,,,,,,,,,
3909,grated cheese,tomatoes,ground beef,spaghetti,soup,meatballs,cooking oil,low fat yogurt,,,,,,,,,,,,
3910,grated cheese,frozen vegetables,ground beef,olive oil,salmon,blueberries,,,,,,,,,,,,,,
3911,tomatoes,spaghetti,milk,olive oil,pancakes,whole wheat rice,green tea,yogurt cake,mint,,,,,,,,,,,
3912,yogurt cake,,,,,,,,,,,,,,,,,,,
3913,shrimp,frozen vegetables,tomatoes,spaghetti,milk,butter,chicken,frozen smoothie,tomato juice,mint,,,,,,,,,,
3914,burgers,herb & pepper,frozen vegetables,spaghetti,chocolate,milk,butter,flax seed,almonds,bug spray,chili,whole weat flour,low fat yogurt,,,,,,,
3915,ground beef,spaghetti,mineral water,almonds,eggs,cereals,green tea,,,,,,,,,,,,,
3916,ground beef,,,,,,,,,,,,,,,,,,,
3917,frozen vegetables,butter,whole wheat rice,pet food,fresh bread,,,,,,,,,,,,,,,
3918,tomatoes,ground beef,muffins,eggs,cookies,,,,,,,,,,,,,,,
3919,soup,milk,pancakes,honey,mint green tea,cottage cheese,,,,,,,,,,,,,,
3920,herb & pepper,ground beef,spaghetti,mineral water,soup,cream,pancakes,french fries,frozen smoothie,,,,,,,,,,,
3921,turkey,ground beef,chocolate,cookies,tomato juice,,,,,,,,,,,,,,,
3922,ground beef,spaghetti,butter,french wine,eggs,whole weat flour,hot dogs,sparkling water,brownies,body spray,energy drink,,,,,,,,,
3923,turkey,tomatoes,ground beef,spaghetti,mineral water,meatballs,french fries,,,,,,,,,,,,,
3924,red wine,ground beef,spaghetti,mineral water,black tea,mayonnaise,low fat yogurt,,,,,,,,,,,,,
3925,burger sauce,escalope,,,,,,,,,,,,,,,,,,
3926,frozen vegetables,parmesan cheese,ground beef,spaghetti,eggs,tea,escalope,,,,,,,,,,,,,
3927,tomatoes,,,,,,,,,,,,,,,,,,,
3928,shrimp,soup,gums,barbecue sauce,,,,,,,,,,,,,,,,
3929,frozen smoothie,melons,,,,,,,,,,,,,,,,,,
3930,turkey,ham,chocolate,muffins,pancakes,cake,rice,chicken,green tea,low fat yogurt,,,,,,,,,,
3931,mineral water,pancakes,oil,,,,,,,,,,,,,,,,,
3932,red wine,cake,champagne,,,,,,,,,,,,,,,,,
3933,cottage cheese,light mayo,,,,,,,,,,,,,,,,,,
3934,french fries,pancakes,,,,,,,,,,,,,,,,,,
3935,red wine,tomatoes,ground beef,spaghetti,mineral water,olive oil,chicken,whole wheat rice,chili,chocolate bread,,,,,,,,,,
3936,turkey,olive oil,green tea,honey,,,,,,,,,,,,,,,,
3937,french wine,cake,,,,,,,,,,,,,,,,,,
3938,low fat yogurt,,,,,,,,,,,,,,,,,,,
3939,black tea,eggs,whole wheat rice,low fat yogurt,green tea,,,,,,,,,,,,,,,
3940,tomatoes,green tea,,,,,,,,,,,,,,,,,,
3941,frozen vegetables,tomatoes,parmesan cheese,mineral water,,,,,,,,,,,,,,,,
3942,red wine,parmesan cheese,ground beef,spaghetti,hand protein bar,cauliflower,mint,,,,,,,,,,,,,
3943,pickles,cereals,green tea,,,,,,,,,,,,,,,,,
3944,mint,,,,,,,,,,,,,,,,,,,
3945,mineral water,,,,,,,,,,,,,,,,,,,
3946,frozen vegetables,ground beef,eggs,low fat yogurt,,,,,,,,,,,,,,,,
3947,mineral water,chocolate,milk,eggs,toothpaste,low fat yogurt,,,,,,,,,,,,,,
3948,escalope,,,,,,,,,,,,,,,,,,,
3949,mineral water,soup,olive oil,,,,,,,,,,,,,,,,,
3950,turkey,spaghetti,chicken,whole weat flour,cottage cheese,fresh bread,,,,,,,,,,,,,,
3951,shrimp,frozen vegetables,,,,,,,,,,,,,,,,,,
3952,red wine,flax seed,cake,frozen smoothie,hot dogs,toothpaste,,,,,,,,,,,,,,
3953,cream,,,,,,,,,,,,,,,,,,,
3954,milk,butter,green grapes,chocolate,escalope,,,,,,,,,,,,,,,
3955,burgers,ground beef,spaghetti,mineral water,oil,barbecue sauce,yogurt cake,low fat yogurt,,,,,,,,,,,,
3956,escalope,,,,,,,,,,,,,,,,,,,
3957,champagne,,,,,,,,,,,,,,,,,,,
3958,carrots,,,,,,,,,,,,,,,,,,,
3959,chocolate,,,,,,,,,,,,,,,,,,,
3960,chocolate,herb & pepper,ground beef,spaghetti,mineral water,olive oil,rice,french fries,,,,,,,,,,,,
3961,tomato sauce,mineral water,cake,,,,,,,,,,,,,,,,,
3962,turkey,pancakes,,,,,,,,,,,,,,,,,,
3963,french fries,,,,,,,,,,,,,,,,,,,
3964,honey,whole wheat rice,,,,,,,,,,,,,,,,,,
3965,chocolate,grated cheese,spaghetti,butter,honey,cake,rice,french fries,energy drink,,,,,,,,,,,
3966,ground beef,yams,eggs,chicken,pasta,,,,,,,,,,,,,,,
3967,french fries,,,,,,,,,,,,,,,,,,,
3968,milk,green beans,mint,,,,,,,,,,,,,,,,,
3969,honey,chocolate,french fries,escalope,,,,,,,,,,,,,,,,
3970,mineral water,chicken,magazines,,,,,,,,,,,,,,,,,
3971,bug spray,light mayo,,,,,,,,,,,,,,,,,,
3972,mineral water,salmon,vegetables mix,cereals,escalope,,,,,,,,,,,,,,,
3973,spaghetti,milk,olive oil,low fat yogurt,,,,,,,,,,,,,,,,
3974,burgers,eggs,frozen smoothie,,,,,,,,,,,,,,,,,
3975,chocolate,,,,,,,,,,,,,,,,,,,
3976,mineral water,french wine,chicken,,,,,,,,,,,,,,,,,
3977,pepper,,,,,,,,,,,,,,,,,,,
3978,dessert wine,tomatoes,ground beef,salmon,hot dogs,,,,,,,,,,,,,,,
3979,ham,ground beef,spaghetti,frozen smoothie,champagne,,,,,,,,,,,,,,,
3980,ground beef,french fries,mushroom cream sauce,brownies,,,,,,,,,,,,,,,,
3981,shrimp,frozen vegetables,ground beef,spaghetti,mineral water,,,,,,,,,,,,,,,
3982,french fries,protein bar,,,,,,,,,,,,,,,,,,
3983,escalope,,,,,,,,,,,,,,,,,,,
3984,blueberries,clothes accessories,french fries,frozen smoothie,escalope,fresh bread,,,,,,,,,,,,,,
3985,burgers,mineral water,flax seed,gums,cereals,,,,,,,,,,,,,,,
3986,milk,cooking oil,low fat yogurt,,,,,,,,,,,,,,,,,
3987,ham,grated cheese,tomatoes,ground beef,spaghetti,mineral water,french wine,honey,rice,cooking oil,ketchup,pancakes,magazines,,,,,,,
3988,frozen vegetables,fromage blanc,pancakes,french fries,escalope,,,,,,,,,,,,,,,
3989,ground beef,spaghetti,mineral water,olive oil,french wine,salmon,cereals,white wine,low fat yogurt,,,,,,,,,,,
3990,frozen vegetables,spaghetti,eggs,bug spray,cooking oil,french fries,escalope,hot dogs,,,,,,,,,,,,
3991,burgers,red wine,shrimp,mineral water,rice,french fries,strawberries,protein bar,tomato juice,cauliflower,,,,,,,,,,
3992,chocolate,,,,,,,,,,,,,,,,,,,
3993,hot dogs,shampoo,,,,,,,,,,,,,,,,,,
3994,herb & pepper,spaghetti,pancakes,low fat yogurt,green tea,,,,,,,,,,,,,,,
3995,mineral water,mint green tea,french fries,,,,,,,,,,,,,,,,,
3996,fresh tuna,spaghetti,mineral water,pancakes,whole weat flour,champagne,hot dogs,tomato juice,green tea,,,,,,,,,,,
3997,bacon,light mayo,low fat yogurt,,,,,,,,,,,,,,,,,
3998,turkey,fresh tuna,spaghetti,fromage blanc,eggs,honey,bramble,green tea,escalope,cottage cheese,,,,,,,,,,
3999,red wine,chocolate,soda,pet food,french fries,champagne,,,,,,,,,,,,,,
4000,olive oil,pancakes,toothpaste,,,,,,,,,,,,,,,,,
4001,toothpaste,,,,,,,,,,,,,,,,,,,
4002,energy bar,champagne,,,,,,,,,,,,,,,,,,
4003,frozen vegetables,tomatoes,milk,salmon,,,,,,,,,,,,,,,,
4004,milk,chocolate,,,,,,,,,,,,,,,,,,
4005,mineral water,avocado,olive oil,muffins,green tea,french fries,escalope,,,,,,,,,,,,,
4006,chocolate,,,,,,,,,,,,,,,,,,,
4007,cookies,,,,,,,,,,,,,,,,,,,
4008,frozen vegetables,mineral water,milk,olive oil,eggs,chocolate,escalope,yogurt cake,,,,,,,,,,,,
4009,escalope,,,,,,,,,,,,,,,,,,,
4010,grated cheese,ground beef,tomato sauce,spaghetti,mineral water,fromage blanc,pancakes,cooking oil,frozen smoothie,tomato juice,,,,,,,,,,
4011,hot dogs,light mayo,,,,,,,,,,,,,,,,,,
4012,eggs,,,,,,,,,,,,,,,,,,,
4013,shrimp,spaghetti,,,,,,,,,,,,,,,,,,
4014,burgers,frozen vegetables,spaghetti,mineral water,pancakes,champagne,protein bar,hand protein bar,,,,,,,,,,,,
4015,frozen vegetables,frozen smoothie,light mayo,,,,,,,,,,,,,,,,,
4016,mineral water,,,,,,,,,,,,,,,,,,,
4017,cookies,,,,,,,,,,,,,,,,,,,
4018,mineral water,olive oil,,,,,,,,,,,,,,,,,,
4019,eggs,,,,,,,,,,,,,,,,,,,
4020,burgers,french fries,frozen smoothie,hot dogs,strawberries,green tea,,,,,,,,,,,,,,
4021,frozen vegetables,muffins,green grapes,,,,,,,,,,,,,,,,,
4022,escalope,,,,,,,,,,,,,,,,,,,
4023,pancakes,cookies,green tea,,,,,,,,,,,,,,,,,
4024,french fries,cookies,,,,,,,,,,,,,,,,,,
4025,mineral water,avocado,cake,pet food,eggplant,french fries,escalope,mushroom cream sauce,fresh bread,toothpaste,,,,,,,,,,
4026,champagne,,,,,,,,,,,,,,,,,,,
4027,cookies,,,,,,,,,,,,,,,,,,,
4028,milk,chicken,eggs,pancakes,,,,,,,,,,,,,,,,
4029,chocolate,,,,,,,,,,,,,,,,,,,
4030,turkey,soup,spinach,french fries,salt,,,,,,,,,,,,,,,
4031,milk,cake,,,,,,,,,,,,,,,,,,
4032,escalope,shallot,white wine,,,,,,,,,,,,,,,,,
4033,frozen vegetables,milk,chicken,,,,,,,,,,,,,,,,,
4034,butter,whole wheat rice,low fat yogurt,,,,,,,,,,,,,,,,,
4035,shrimp,tomatoes,carrots,chocolate,low fat yogurt,,,,,,,,,,,,,,,
4036,low fat yogurt,,,,,,,,,,,,,,,,,,,
4037,french fries,cookies,mushroom cream sauce,honey,,,,,,,,,,,,,,,,
4038,frozen vegetables,avocado,chocolate,french fries,escalope,champagne,fresh bread,,,,,,,,,,,,,
4039,chocolate,escalope,,,,,,,,,,,,,,,,,,
4040,cookies,strawberries,,,,,,,,,,,,,,,,,,
4041,pepper,spaghetti,mineral water,milk,pancakes,cake,white wine,green tea,,,,,,,,,,,,
4042,cake,french fries,,,,,,,,,,,,,,,,,,
4043,frozen vegetables,milk,almonds,whole wheat rice,cooking oil,chocolate,french fries,light mayo,low fat yogurt,,,,,,,,,,,
4044,red wine,spaghetti,mineral water,cider,french fries,cookies,pancakes,energy drink,,,,,,,,,,,,
4045,tomatoes,mineral water,green tea,chocolate,frozen smoothie,escalope,,,,,,,,,,,,,,
4046,french fries,,,,,,,,,,,,,,,,,,,
4047,grated cheese,frozen vegetables,tomatoes,mineral water,olive oil,protein bar,hand protein bar,fresh bread,green tea,,,,,,,,,,,
4048,eggs,,,,,,,,,,,,,,,,,,,
4049,olive oil,eggs,,,,,,,,,,,,,,,,,,
4050,french fries,cottage cheese,,,,,,,,,,,,,,,,,,
4051,chocolate,almonds,vegetables mix,cake,french fries,frozen smoothie,pancakes,energy drink,,,,,,,,,,,,
4052,cookies,,,,,,,,,,,,,,,,,,,
4053,frozen vegetables,mineral water,meatballs,butter,eggs,,,,,,,,,,,,,,,
4054,mineral water,energy bar,chocolate,low fat yogurt,,,,,,,,,,,,,,,,
4055,milk,french fries,brownies,,,,,,,,,,,,,,,,,
4056,burgers,milk,cake,eggplant,green tea,,,,,,,,,,,,,,,
4057,turkey,spaghetti,mineral water,chocolate,eggs,cooking oil,pet food,cookies,protein bar,,,,,,,,,,,
4058,ham,ground beef,spaghetti,milk,olive oil,french wine,muffins,pancakes,whole weat flour,cottage cheese,green tea,,,,,,,,,
4059,cookies,,,,,,,,,,,,,,,,,,,
4060,frozen vegetables,whole wheat pasta,ground beef,spaghetti,milk,chicken,eggs,french fries,green tea,,,,,,,,,,,
4061,milk,fromage blanc,salmon,eggs,,,,,,,,,,,,,,,,
4062,low fat yogurt,,,,,,,,,,,,,,,,,,,
4063,flax seed,eggs,chicken,green tea,,,,,,,,,,,,,,,,
4064,tomatoes,,,,,,,,,,,,,,,,,,,
4065,green tea,,,,,,,,,,,,,,,,,,,
4066,burgers,ground beef,mineral water,meatballs,milk,eggs,cake,,,,,,,,,,,,,
4067,mineral water,candy bars,,,,,,,,,,,,,,,,,,
4068,turkey,burgers,shrimp,tomatoes,cooking oil,,,,,,,,,,,,,,,
4069,cookies,,,,,,,,,,,,,,,,,,,
4070,mineral water,chocolate,milk,energy bar,white wine,,,,,,,,,,,,,,,
4071,eggs,french fries,,,,,,,,,,,,,,,,,,
4072,tomatoes,eggs,,,,,,,,,,,,,,,,,,
4073,cookies,,,,,,,,,,,,,,,,,,,
4074,shrimp,frozen vegetables,tomatoes,parmesan cheese,ground beef,spaghetti,eggs,cake,oatmeal,cereals,,,,,,,,,,
4075,frozen vegetables,whole wheat rice,,,,,,,,,,,,,,,,,,
4076,shrimp,avocado,candy bars,,,,,,,,,,,,,,,,,
4077,shrimp,tomatoes,mineral water,cooking oil,,,,,,,,,,,,,,,,
4078,chocolate,almonds,vegetables mix,eggs,whole wheat rice,frozen smoothie,cottage cheese,,,,,,,,,,,,,
4079,melons,candy bars,,,,,,,,,,,,,,,,,,
4080,whole wheat rice,,,,,,,,,,,,,,,,,,,
4081,low fat yogurt,,,,,,,,,,,,,,,,,,,
4082,frozen vegetables,tomatoes,mineral water,soup,milk,whole wheat rice,cake,cereals,,,,,,,,,,,,
4083,eggs,chocolate,french fries,,,,,,,,,,,,,,,,,
4084,burgers,eggs,barbecue sauce,french fries,,,,,,,,,,,,,,,,
4085,burgers,shallot,,,,,,,,,,,,,,,,,,
4086,mineral water,milk,,,,,,,,,,,,,,,,,,
4087,tomatoes,energy bar,cake,tomato juice,,,,,,,,,,,,,,,,
4088,milk,chocolate,,,,,,,,,,,,,,,,,,
4089,milk,chicken,eggs,,,,,,,,,,,,,,,,,
4090,burgers,shrimp,chocolate,pancakes,eggs,cooking oil,french fries,,,,,,,,,,,,,
4091,shrimp,milk,tomato juice,,,,,,,,,,,,,,,,,
4092,butter,flax seed,green tea,magazines,,,,,,,,,,,,,,,,
4093,burgers,cottage cheese,,,,,,,,,,,,,,,,,,
4094,mineral water,whole wheat rice,cake,rice,cooking oil,chicken,french fries,cookies,,,,,,,,,,,,
4095,shrimp,spaghetti,mineral water,bacon,eggs,brownies,,,,,,,,,,,,,,
4096,grated cheese,shrimp,tomatoes,spaghetti,mineral water,,,,,,,,,,,,,,,
4097,cookies,,,,,,,,,,,,,,,,,,,
4098,cookies,low fat yogurt,,,,,,,,,,,,,,,,,,
4099,clothes accessories,,,,,,,,,,,,,,,,,,,
4100,hot dogs,,,,,,,,,,,,,,,,,,,
4101,ground beef,olive oil,oil,antioxydant juice,,,,,,,,,,,,,,,,
4102,ham,spaghetti,mineral water,eggs,chicken,green tea,chocolate,frozen smoothie,,,,,,,,,,,,
4103,mineral water,eggs,whole wheat rice,chocolate,escalope,,,,,,,,,,,,,,,
4104,eggs,,,,,,,,,,,,,,,,,,,
4105,grated cheese,ground beef,rice,,,,,,,,,,,,,,,,,
4106,spaghetti,body spray,,,,,,,,,,,,,,,,,,
4107,mineral water,green tea,,,,,,,,,,,,,,,,,,
4108,chocolate,french fries,,,,,,,,,,,,,,,,,,
4109,burgers,shrimp,spaghetti,olive oil,salmon,cooking oil,escalope,tomato juice,,,,,,,,,,,,
4110,herb & pepper,mineral water,soup,milk,french wine,pancakes,eggs,honey,oil,champagne,magazines,mayonnaise,,,,,,,,
4111,vegetables mix,,,,,,,,,,,,,,,,,,,
4112,barbecue sauce,,,,,,,,,,,,,,,,,,,
4113,milk,,,,,,,,,,,,,,,,,,,
4114,ham,tomatoes,avocado,fromage blanc,pancakes,eggs,honey,whole wheat rice,cake,gums,light mayo,,,,,,,,,
4115,frozen vegetables,ground beef,spaghetti,mineral water,milk,black tea,pancakes,eggs,cooking oil,barbecue sauce,chocolate,,,,,,,,,
4116,tomatoes,milk,,,,,,,,,,,,,,,,,,
4117,eggs,green tea,,,,,,,,,,,,,,,,,,
4118,ground beef,,,,,,,,,,,,,,,,,,,
4119,frozen vegetables,whole wheat pasta,olive oil,eggs,carrots,green tea,french fries,cottage cheese,,,,,,,,,,,,
4120,olive oil,cake,chocolate,,,,,,,,,,,,,,,,,
4121,burgers,red wine,shrimp,mineral water,milk,honey,,,,,,,,,,,,,,
4122,turkey,burgers,eggs,french fries,pasta,green tea,,,,,,,,,,,,,,
4123,ham,ground beef,spaghetti,olive oil,vegetables mix,muffins,,,,,,,,,,,,,,
4124,mineral water,cookies,,,,,,,,,,,,,,,,,,
4125,cottage cheese,mayonnaise,,,,,,,,,,,,,,,,,,
4126,chicken,oil,cookies,brownies,tomato juice,toothpaste,,,,,,,,,,,,,,
4127,mineral water,whole wheat rice,escalope,low fat yogurt,,,,,,,,,,,,,,,,
4128,shrimp,pepper,energy bar,cooking oil,escalope,fresh bread,,,,,,,,,,,,,,
4129,frozen vegetables,whole wheat rice,cake,,,,,,,,,,,,,,,,,
4130,burgers,french wine,eggs,barbecue sauce,cottage cheese,melons,fresh bread,white wine,,,,,,,,,,,,
4131,mineral water,green tea,honey,,,,,,,,,,,,,,,,,
4132,chili,,,,,,,,,,,,,,,,,,,
4133,shrimp,tomatoes,ground beef,mineral water,oil,,,,,,,,,,,,,,,
4134,herb & pepper,ground beef,spaghetti,salmon,muffins,eggs,chicken,,,,,,,,,,,,,
4135,cookies,,,,,,,,,,,,,,,,,,,
4136,frozen vegetables,,,,,,,,,,,,,,,,,,,
4137,energy bar,chocolate bread,whole weat flour,mint,,,,,,,,,,,,,,,,
4138,cookies,,,,,,,,,,,,,,,,,,,
4139,ham,grated cheese,frozen vegetables,ground beef,spaghetti,,,,,,,,,,,,,,,
4140,chicken,eggs,,,,,,,,,,,,,,,,,,
4141,ham,spaghetti,mineral water,eggs,green tea,,,,,,,,,,,,,,,
4142,burgers,frozen vegetables,tomatoes,soup,energy bar,escalope,,,,,,,,,,,,,,
4143,turkey,burgers,frozen vegetables,ground beef,mineral water,almonds,salmon,barbecue sauce,carrots,hot dogs,,,,,,,,,,
4144,burgers,butter,escalope,cauliflower,,,,,,,,,,,,,,,,
4145,mineral water,chocolate,chicken,escalope,,,,,,,,,,,,,,,,
4146,mineral water,black tea,almonds,pancakes,eggs,,,,,,,,,,,,,,,
4147,salmon,vegetables mix,,,,,,,,,,,,,,,,,,
4148,ground beef,spaghetti,milk,zucchini,,,,,,,,,,,,,,,,
4149,tomatoes,spaghetti,mineral water,milk,rice,oil,,,,,,,,,,,,,,
4150,chocolate,,,,,,,,,,,,,,,,,,,
4151,french fries,,,,,,,,,,,,,,,,,,,
4152,dessert wine,chocolate,spaghetti,salmon,cooking oil,protein bar,hand protein bar,,,,,,,,,,,,,
4153,shrimp,tomatoes,mineral water,chicken,whole weat flour,cottage cheese,body spray,fresh bread,,,,,,,,,,,,
4154,salt,,,,,,,,,,,,,,,,,,,
4155,shrimp,soup,butter,,,,,,,,,,,,,,,,,
4156,fresh tuna,mineral water,eggs,,,,,,,,,,,,,,,,,
4157,red wine,cooking oil,french fries,,,,,,,,,,,,,,,,,
4158,cookies,,,,,,,,,,,,,,,,,,,
4159,burgers,eggs,,,,,,,,,,,,,,,,,,
4160,eggs,cookies,,,,,,,,,,,,,,,,,,
4161,burgers,french fries,yogurt cake,,,,,,,,,,,,,,,,,
4162,eggs,pet food,,,,,,,,,,,,,,,,,,
4163,salmon,chocolate,,,,,,,,,,,,,,,,,,
4164,tomatoes,mineral water,honey,whole wheat rice,cooking oil,whole weat flour,frozen smoothie,low fat yogurt,,,,,,,,,,,,
4165,mineral water,frozen smoothie,,,,,,,,,,,,,,,,,,
4166,turkey,spaghetti,olive oil,strong cheese,pancakes,eggs,tomato juice,fresh bread,,,,,,,,,,,,
4167,spaghetti,black tea,,,,,,,,,,,,,,,,,,
4168,honey,escalope,low fat yogurt,,,,,,,,,,,,,,,,,
4169,shrimp,,,,,,,,,,,,,,,,,,,
4170,mineral water,eggs,strawberries,,,,,,,,,,,,,,,,,
4171,turkey,burgers,whole wheat pasta,chocolate,milk,olive oil,chicken,pancakes,cooking oil,green tea,,,,,,,,,,
4172,energy bar,pancakes,,,,,,,,,,,,,,,,,,
4173,mushroom cream sauce,,,,,,,,,,,,,,,,,,,
4174,french fries,,,,,,,,,,,,,,,,,,,
4175,burgers,milk,cake,cereals,,,,,,,,,,,,,,,,
4176,pickles,light mayo,,,,,,,,,,,,,,,,,,
4177,cake,oil,escalope,pancakes,yogurt cake,,,,,,,,,,,,,,,
4178,yogurt cake,candy bars,,,,,,,,,,,,,,,,,,
4179,ground beef,cookies,,,,,,,,,,,,,,,,,,
4180,tomatoes,mineral water,eggplant,french fries,,,,,,,,,,,,,,,,
4181,ground beef,spaghetti,mineral water,chili,escalope,,,,,,,,,,,,,,,
4182,burgers,mineral water,salmon,vegetables mix,pancakes,eggs,frozen smoothie,body spray,,,,,,,,,,,,
4183,escalope,,,,,,,,,,,,,,,,,,,
4184,whole wheat rice,cookies,protein bar,hand protein bar,,,,,,,,,,,,,,,,
4185,french wine,pet food,,,,,,,,,,,,,,,,,,
4186,french fries,,,,,,,,,,,,,,,,,,,
4187,french fries,escalope,pasta,mushroom cream sauce,fresh bread,,,,,,,,,,,,,,,
4188,mineral water,chocolate,cereals,,,,,,,,,,,,,,,,,
4189,turkey,eggs,,,,,,,,,,,,,,,,,,
